id,familia,tags,titol,descripcio,prerequisits,es_fita,fita_nom,fita_descripcio,fita_icona,discourse_badge_name,discourse_badge_id,discourse_topic_id,mat1_tipus,mat1_nom,mat1_url,mat2_tipus,mat2_nom,mat2_url
GiT_INICI,General,"Taller,Benvinguda",Benvingut al Taller,Estàs apuntat als tallers de Gaita i Tabalet de l'Ateneu. Aquest és el punt de partida de tot l'itinerari formatiu.,,TRUE,Membre de la Gaita i el Tabalet,Estàs apuntat als tallers de Gaita i Tabalet.,🥁,GiT_Membre,112,369,,,,,,
PERC_PL_1,Percussió,"Tabal,Beat,Mètronom",PL al beat · 1 min,Tocar PL al beat amb mètronom fix durant 1 minut seguit. La base de tot ritme naix d'ací: consistència i puls constant. 70 BPM Recomanat.,GiT_INICI,FALSE,,,,,,388,video,GiT PL Beat,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/aCL3gunnUFo?si=oV3xXdb5v3D5g6qr"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,,
PERC_PL_2,Percussió,"Tabal,Beat,Mètronom",PL al beat · 2 min,Tocar PL al beat amb mètronom fix durant 2 minuts seguits. 70 BPM Recomanat.,PERC_PL_1,FALSE,,,,,,389,video,GiT PL Beat,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/aCL3gunnUFo?si=oV3xXdb5v3D5g6qr"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,,
PERC_PL_3,Percussió,"Tabal,Beat,Resistència",PL al beat · 3 min,Tres minuts de beat constant. La resistència musical és tan important com la tècnica. 70 BPM Recomanat.,PERC_PL_2,FALSE,,,,,,390,video,GiT PL Beat,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/aCL3gunnUFo?si=oV3xXdb5v3D5g6qr"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,,
PERC_PL_4,Percussió,"Tabal,Beat,Resistència",PL al beat · 4 min,Quatre minuts complets. Arribar ací vol dir que el pols ja és part del teu cos. 70 BPM Recomanat.,PERC_PL_3,TRUE,Tabalemaster I,Plau i fa sol!,🌧️,GiT_PL_al_beat,108,391,video,GiT PL Beat,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/aCL3gunnUFo?si=oV3xXdb5v3D5g6qr"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,,
PERC_DE_1,Percussió,"Tabal,D-E,Beat",D-E al beat · 1 min,Alternar D i E al beat durant 1 minut. La coordinació bilateral comença ací. 70 BPM Recomanat.,PERC_PL_2,FALSE,,,,,,392,video,GiT DE Beat,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/lntQSf4-sEM?si=uu2uiBTkb1w-J4vJ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,,
PERC_DE_2,Percussió,"Tabal,D-E,Beat",D-E al beat · 2 min,Dos minuts d'alternança D-E. Desbloqueja les branques PL-D i PL-E. 70 BPM Recomanat.,PERC_DE_1,FALSE,,,,,,393,video,GiT DE Beat,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/lntQSf4-sEM?si=uu2uiBTkb1w-J4vJ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,,
PERC_DE_3,Percussió,"Tabal,D-E,Resistència",D-E al beat · 3 min,Tres minuts. La fluïdesa de l'alternança ha de ser automàtica. 70 BPM Recomanat.,PERC_DE_2,FALSE,,,,,,394,video,GiT DE Beat,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/lntQSf4-sEM?si=uu2uiBTkb1w-J4vJ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,,
PERC_DE_4,Percussió,"Tabal,D-E,Resistència",D-E al beat · 4 min,Quatre minuts. Arribar ací és tenir una base sòlida per a qualsevol patró. 70 BPM Recomanat.,PERC_DE_3,TRUE,Rapatam I,Domini de l'escala de 1,1️⃣,GiT_DE_al_beat,109,395,video,GiT DE Beat,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/lntQSf4-sEM?si=uu2uiBTkb1w-J4vJ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,,
PERC_DDEE_1,Percussió,"Tabal,DD-EE,Beat",DD-EE al beat · 1 min,Alternar DD i EE al beat durant 1 minut. Comencem a fraccionar els temps. 70 BPM Recomanat.,PERC_DDEE_1,FALSE,,,,,,,video,GiT DDEE Beat,,,,
